Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, LinAccX, LinAccY, LinAccZ, GRV1, GRV2, GRV3 ,GRV4 ,ROT1, ROT2, ROT3, ROT4, Pressure, Temperature
515978, -3.30859375, -5.5703125, 7.41015625, -0.033203125, 0.005859375, 0.02734375, 19.875, 13.8125, -27.5, -0.22265625, -0.02734375, 0.078125, -1.209716796875, -0.718017578125, 3.223388671875, 1.90576171875, -0.31256103515625, -0.15185546875, 0.76702880859375, 0.53936767578125, 1015.962646484375, 31.067718505859375
516171, -2.96484375, -5.68359375, 7.63671875, -0.080078125, 0.0078125, 0.0078125, 19.9375, 14.125, -26.75, 0.0, 0.1015625, 0.0, -1.182373046875, -0.7412109375, 3.275146484375, 1.823486328125, -0.3133544921875, -0.15240478515625, 0.7672119140625, 0.53851318359375, 1015.962646484375, 31.067718505859375
516306, -3.30859375, -5.609375, 7.37109375, -0.03515625, -0.009765625, -0.005859375, 19.125, 13.875, -25.3125, -0.16796875, 0.0703125, -0.13671875, -1.18115234375, -0.741943359375, 3.27587890625, 1.8232421875, -0.31378173828125, -0.15283203125, 0.767333984375, 0.5379638671875, 1015.962646484375, 31.067718505859375
516406, -3.0, -5.80078125, 7.63671875, -0.044921875, 0.009765625, -0.005859375, 19.9375, 14.4375, -26.0, 0.0703125, 0.078125, -0.015625, -1.17626953125, -0.747802734375, 3.28857421875, 1.80078125, -0.314208984375, -0.15338134765625, 0.766845703125, 0.5382080078125, 1015.962646484375, 31.067718505859375
516505, -3.19140625, -5.76171875, 7.5625, 0.013671875, -0.013671875, -0.021484375, 20.5, 14.125, -25.1875, -0.01953125, -0.05078125, 0.078125, -1.17529296875, -0.753173828125, 3.298828125, 1.7802734375, -0.31549072265625, -0.1539306640625, 0.76727294921875, 0.53668212890625, 1015.962646484375, 31.067718505859375
516635, -3.19140625, -5.76171875, 7.4453125, -0.013671875, 0.013671875, 0.009765625, 19.375, 13.5625, -27.875, -0.01171875, -0.04296875, -0.0234375, -1.1728515625, -0.756103515625, 3.302978515625, 1.77294921875, -0.31591796875, -0.15386962890625, 0.76776123046875, 0.53582763671875, 1015.99267578125, 31.067718505859375
516735, -3.23046875, -5.72265625, 7.5625, -0.017578125, 0.00390625, -0.03125, 19.625, 14.8125, -24.5, -0.05078125, -0.01171875, 0.0859375, -1.181640625, -0.74658203125, 3.2880859375, 1.798583984375, -0.31591796875, -0.15386962890625, 0.76739501953125, 0.5362548828125, 1015.99267578125, 31.067718505859375
516894, -3.23046875, -5.609375, 7.4453125, -0.0078125, -0.015625, -0.009765625, 19.875, 14.4375, -26.75, -0.03515625, 0.0703125, -0.0390625, -1.167236328125, -0.77001953125, 3.32373046875, 1.731201171875, -0.31536865234375, -0.15277099609375, 0.76806640625, 0.53594970703125, 1015.99267578125, 31.067718505859375
517146, -3.23046875, -5.72265625, 7.5625, 0.013671875, 0.001953125, 0.02734375, 20.875, 13.8125, -26.6875, -0.02734375, -0.05078125, 0.0390625, -1.168212890625, -0.769287109375, 3.324951171875, 1.728759765625, -0.31549072265625, -0.15234375, 0.7681884765625, 0.53582763671875, 1015.99267578125, 31.067718505859375
517246, -3.23046875, -5.609375, 7.484375, 0.05078125, -0.00390625, -0.056640625, 20.0, 14.125, -26.0, -0.04296875, 0.0703125, -0.0390625, -1.174560546875, -0.75830078125, 3.31005859375, 1.75732421875, -0.3150634765625, -0.15155029296875, 0.76849365234375, 0.535888671875, 1015.99267578125, 31.067718505859375
