Time,i,j,k,w,Pressure,Temperature,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
118400.0,0.664794921875,-0.51458740234375,0.42974853515625,0.3294677734375,1005.85107421875,23.77423095703125,8.59375,-0.05078125,-3.92578125,-0.00390625,0.03515625,0.001953125,-193.5,-23.125,76.8125,
118459.0,0.664794921875,-0.5146484375,0.4296875,0.3294677734375,1005.839599609375,23.775360107421875,8.59375,-0.05078125,-3.92578125,0.001953125,0.017578125,-0.001953125,-192.9375,-23.125,76.9375,
118519.0,0.66473388671875,-0.51458740234375,0.4298095703125,0.32952880859375,1005.83740234375,23.7684326171875,8.59375,-0.01171875,-3.92578125,0.001953125,0.01953125,0.001953125,-194.125,-22.4375,76.75,
118554.0,0.66473388671875,-0.51458740234375,0.4298095703125,0.32952880859375,1005.85302734375,23.7684326171875,8.59375,-0.05078125,-3.96484375,0.0,-0.03125,0.0,-195.0,-22.625,75.625,
118584.0,0.664794921875,-0.5146484375,0.4296875,0.3294677734375,1005.8505859375,23.748748779296875,8.59375,-0.01171875,-3.96484375,-0.005859375,0.05859375,0.001953125,-193.875,-22.8125,74.0,
118759.0,0.66473388671875,-0.5146484375,0.42974853515625,0.3294677734375,1005.849365234375,23.7730712890625,8.6328125,-0.05078125,-3.8515625,0.0,-0.0234375,0.0,-194.3125,-23.125,76.0625,
118820.0,0.66461181640625,-0.51458740234375,0.429931640625,0.32958984375,1005.850830078125,23.760345458984375,8.6328125,-0.05078125,-3.8515625,-0.001953125,-0.025390625,0.0,-193.25,-23.3125,75.9375,
118879.0,0.6646728515625,-0.5146484375,0.42987060546875,0.32958984375,1005.849609375,23.761505126953125,8.59375,-0.01171875,-3.92578125,0.0,0.017578125,0.001953125,-194.9375,-22.875,76.0,
119269.0,0.66455078125,-0.51458740234375,0.42987060546875,0.329833984375,1005.852783203125,23.76495361328125,8.59375,-0.05078125,-3.92578125,-0.001953125,-0.02734375,-0.001953125,-195.0625,-22.5,77.1875,
119329.0,0.66455078125,-0.5146484375,0.42974853515625,0.32977294921875,1005.841552734375,23.76495361328125,8.59375,-0.05078125,-3.890625,0.0,-0.01171875,-0.00390625,-194.1875,-22.875,76.4375,
119365.0,0.66461181640625,-0.51470947265625,0.4296875,0.3297119140625,1005.848876953125,23.76495361328125,8.6328125,-0.05078125,-3.92578125,0.0,-0.017578125,0.0,-193.5,-22.6875,76.8125,
119694.0,0.66448974609375,-0.5146484375,0.429931640625,0.329833984375,1005.855224609375,23.7730712890625,8.5546875,-0.05078125,-4.04296875,-0.001953125,0.1640625,0.005859375,-195.125,-22.625,75.375,
119748.0,0.66436767578125,-0.51458740234375,0.43011474609375,0.3299560546875,1005.868896484375,23.770751953125,8.671875,-0.05078125,-3.734375,0.001953125,-0.1796875,-0.0078125,-194.1875,-23.125,76.4375,
119808.0,0.66448974609375,-0.5146484375,0.42987060546875,0.32989501953125,1005.857421875,23.770751953125,8.6328125,-0.01171875,-3.8515625,0.0,-0.00390625,0.0,-194.875,-22.625,76.0,
119851.0,0.66455078125,-0.5146484375,0.4298095703125,0.329833984375,1005.857177734375,23.7684326171875,8.59375,-0.05078125,-3.890625,-0.00390625,0.017578125,0.0,-194.1875,-23.125,76.4375,
